순위,책이름,저자,출판사,가격
1,소년이 온다,한강 저,창비,"13,500"
2,채식주의자,한강 저,창비,"13,500"
3,작별하지 않는다,한강 저,문학동네,"15,120"
4,하루 한 장 나의 어휘력을 위한 필사 노트,유선경 저,위즈덤하우스,"21,420"
5,서랍에 저녁을 넣어 두었다,한강 저,문학과지성사,"10,800"
6,트렌드 코리아 2025,"김난도, 전미영, 최지혜, 권정윤, 한다혜 저 외 5명",미래의창,"18,000"
7,흰,한강 저/최진혁 사진,문학동네,"13,050"
8,산타 할아버지의 첫 크리스마스,맥 바넷 글/시드니 스미스 그림/김지은 역,책읽는곰,"13,500"
9,희랍어 시간,한강 저,문학동네,"11,700"
10,넥서스,유발 하라리 저/김명주 역,김영사,"25,020"
11,어른의 행복은 조용하다,태수 저,페이지2북스,"16,020"
12,트럼프 2.0 시대,박종훈 저,글로퍼스,"18,000"
13,트럼프와 함께하는 알트코인 대폭등,강환국 저,거인의정원,"24,300"
14,일의 감각,조수용 저,레퍼런스 바이 비(REFERENCE by B),"19,800"
15,해피버쓰데이,백희나 글그림,스토리보울,"15,300"
16,고전이 답했다 마땅히 살아야 할 삶에 대하여 (나만의 책 만들기 에디션),고명환 저,라곰,"15,120"
17,퓨처 셀프 30만 부 기념 스페셜 에디션,벤저민 하디 저/최은아 역,상상스퀘어,"19,800"
18,린치핀,세스 고딘 저/윤영삼 역,필름,"21,420"
19,모순,양귀자 저,쓰다,"11,700"
20,김미경의 딥마인드,김미경 저,어웨이크북스,"16,200"
21,너에게 들려주는 단단한 말,김종원 저,퍼스트펭귄,"16,200"
22,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS 저,YBM(와이비엠),"17,820"
23,세이노의 가르침,세이노(SayNo) 저,데이원,"6,480"
24,후 who? special 아이브,조약돌 글/백재이 그림,다산어린이,"13,500"
25,주아쌤의 툭 치면 탁 나오는 영어회화 (특별부록 한정판),이정은 저,몽스북,"16,920"
26,인생의 의미,토마스 힐란드 에릭센 저/이영래 역,더퀘스트,"16,920"
27,이처럼 사소한 것들,클레어 키건 저/홍한별 역,다산책방,"12,420"
28,경기도 부동산의 힘,김학렬 저,에프엔미디어,"26,100"
29,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS 저,YBM(와이비엠),"17,820"
30,부모의 어휘력,김종원 저,카시오페아,"17,100"
31,아이에게 들려주는 부모의 예쁜 말 필사노트,김종원 저,상상아카데미,"19,800"
32,대온실 수리 보고서,김금희 저,창비,"16,200"
33,마음의 기술,"안-엘렌 클레르, 뱅상 트리부 저/구영옥 역",상상스퀘어,"18,900"
34,돈의 심리학 (30만 부 기념 스페셜 에디션),모건 하우절 저/이지연 역,인플루엔셜,"17,820"
35,마흔에 읽는 쇼펜하우어 (200쇄 기념 확장판),강용수 저,유노북스,"15,300"
36,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성 저,이투스북 ,"14,400"
37,행동하지 않으면 인생은 바뀌지 않는다,브라이언 트레이시 저/정지현 역,현대지성,"15,210"
38,주술회전 28 + 2025 A2 캘린더 세트 (한정판),아쿠타미 게게 글그림/이정운 역,서울미디어코믹스(서울문화사),"41,400"
39,불변의 법칙,모건 하우절 저/이수경 역,서삼독,"22,500"
40,언젠가 우리가 같은 별을 바라본다면,차인표 저,해결책,"10,800"
41,흔한남매 과학 탐험대 12 공룡과 화석,"흔한남매 원저/김언정, 송은경 글/임혜영 그림/김희목 기획 외 3명",주니어김영사,"13,320"
42,설민석의 한국사 대모험 31,"설민석, 남이담 글/정현희 그림/강석화 감수",단꿈아이,"12,600"
43,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성 저,이투스북 ,"13,950"
44,박태웅의 AI 강의 2025,박태웅 저,한빛비즈,"16,920"
45,더 나은 어휘를 쓰고 싶은 당신을 위한 필사책,이주윤 저,빅피시,"19,800"
46,모든 시험에 적용되는 33가지 진짜 공부법,연수남 저,다산북스,"17,820"
47,나는 메트로폴리탄 미술관의 경비원입니다 (20만 부 양장 에디션),"패트릭 브링리 저/김희정, 조현주 역",웅진지식하우스,"15,750"
48,최소한의 한국사,최태성 저,프런트페이지,"16,200"
49,코스모스,칼 에드워드 세이건 저/홍승수 역,사이언스북스,"17,910"
50,나의 인생만사 답사기,유홍준 저,창비,"19,800"
51,한강 스페셜 에디션,한강 저,문학동네,"42,120"
52,급류,정대건 저,민음사,"12,600"
53,해커스 토익 기출 VOCA (보카),David Cho 저,해커스어학연구소,"11,610"
54,김재우의 기초 영어회화 100,김재우 저,상상스퀘어,"17,010"
55,그의 운명에 대한 아주 개인적인 생각,유시민 저,생각의길,"15,120"
56,당신을 알기 전에는 시 없이도 잘 지냈습니다,류시화 저,수오서재,"14,400"
57,사피엔스,유발 하라리 저/조현욱 역/이태수 감수,김영사,"24,120"
58,진짜 쓰는 실무 엑셀,전진권 저,제이펍,"18,900"
59,긴긴밤,루리 글그림,문학동네,"10,350"
60,조혜련의 잘 보이는 성경이야기,조혜련 저,오제이엔터스컴,"49,500"
61,"바람이 분다, 가라",한강 저,문학과지성사,"12,600"
62,작은 땅의 야수들,김주혜 저/박소현 역,다산책방,"16,200"
63,이상한 과자 가게 전천당 시즌2  : 행운의 갈림길 1,히로시마 레이코 글/쟈쟈 그림/김정화 역,길벗스쿨,"12,600"
64,동사×전치사 도감,권은희 저,길벗이지톡,"17,820"
65,백앤아 8,백앤아 원저/안도감 글/돌만 그림,샌드박스스토리 키즈,"15,120"
66,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),데일 카네기 저/임상훈 역,현대지성,"10,350"
67,만화로 보는 3분 철학 1,김재훈 글그림/서정욱 글,카시오페아,"14,400"
68,불안 세대,조너선 하이트 저/이충호 역,웅진지식하우스,"22,320"
69,2025 양승아 응급처치학개론 단원별 예상문제 (Always First),양승아 편저,포러스,"37,800"
70,천 번을 흔들리며 아이는 어른이 됩니다,김붕년 저,21세기북스,"16,020"
71,사이언스 2025,"내셔널지오그래픽 키즈 글/이한음, 김아림 역",비룡소,"25,200"
72,챗GPT 교사 마스터 플랜,한민철 저,책바세,"21,600"
