no,title,link
0," 에스파 닝닝, 워너비 청바지 핏..연일 리즈 찍는 비주얼 [스타IN★] ",http://v.daum.net/v/20241208001414598
1," 56세 채시라, 흰티+청바지핏 20대 뺨쳐‥평생이 예쁘네 ",http://v.daum.net/v/20241205102113139
2," 힙라인 美쳤다...'골프 여신' 유현주, 청바지 입고 뽐낸 '공격적 뒤태' ",http://v.daum.net/v/20241208200005828
3," 이시영, 얼어죽어도 美! 폭설 속 찢어진 청바지에 돼지코 신발로 시선 강탈! ",http://v.daum.net/v/20241127170304793
4," 56세 채시라, 흰 티에 청바지만 입어도 완벽… '데님 여신' 귀환 ",http://v.daum.net/v/20241206205810264
5," ‘미스쓰리랑’ 김소연, 박상민과 ‘청바지 아가씨’ 즉석 화음 ",http://v.daum.net/v/20241129012015847
6," 50대의 흰티·청바지, 채시라 걸그룹 몸매 인증 ",http://v.daum.net/v/20241206020014186
7," 서주경, 전성기 파격 패션 “몸매 예뻐 청바지 오픈” (퍼펙트)[결정적장면] ",http://v.daum.net/v/20241128060836398
8," 채시라, 흰티+청바지 완벽 소화…50대 나이 안 믿기는 몸매 [MD★스타] ",http://v.daum.net/v/20241206162024306
9, 크리스탈 ‘청바지에 가디건만 툭 걸쳐도 예쁨 완성’[포토엔HD] ,http://v.daum.net/v/20241203100807187
10, 집에 굴러다니는 청바지 하나로 리사처럼 멋 내는 법 ,http://v.daum.net/v/20241127172605719
11," 서주경, 원조 섹시스타? 청바지 골반에 걸치고 당돌했던 패션(퍼펙트 라이프) ",http://v.daum.net/v/20241127153650717
12, 고우리 ‘청바지가 잘 어울려’ [MK포토] ,http://v.daum.net/v/20241205164814052
13," [ET포토] 베이비몬스터 아현, '셔츠에 청바지면 완벽' ",http://v.daum.net/v/20241204153708872
14," 제주서 청바지에 오리발 낀 시신 발견돼…실종 모터보트 선장 추정 ""확인 중"" ",http://v.daum.net/v/20241124142017794
15," 대구시행복진흥원, 2024 청바지(청년이 바라는 지금 가족) 아카데미 발대식 개최 ",http://v.daum.net/v/20241109214942252
16, 미스전남 진 이하정 '청바지가 잘 어울리는 여자' [포토] ,http://v.daum.net/v/20241205173202831
17, ‘美 언더아머’ 가방에 청바지 입은 北학생… 러시아 유튜버가 포착한 평양의 모습 ,http://v.daum.net/v/20241129115100297
18," 김태리, 흰티+청바지 입은 정년이‥시크해도 예쁘네 ",http://v.daum.net/v/20241106084401512
19," [美대선 D-1] 청바지 입은 해리스, 미화원 조끼 걸친 트럼프…패션 필살기는 ",http://v.daum.net/v/20241104162858090
20, 해리스는 청바지·트럼프는 미화원 조끼…패션으로 읽는 美 대선 ,http://v.daum.net/v/20241105233634359
21, 트럼프의 앞치마 vs 해리스의 청바지…‘서민 소통 상징’으로 패션정치 대결 [박영실의 이미지 브랜딩] ,http://v.daum.net/v/20241103060502246
22," 김지원, 청바지에 숏패딩만 입어도 청순‥입술 쭉 애교는 덤 ",http://v.daum.net/v/20241120155408078
23, 가죽재킷·청바지 입은 '힙한' 비올레타가 온다…'라 트라비아타' ,http://v.daum.net/v/20241111092157682
24," ‘마이큐♥’ 김나영, 애들 없이 청바지만? ‘수영복 벗고 드러난 완벽 핏’ ",http://v.daum.net/v/20241105104509753
25, 홍주연 아나 슬리퍼+청바지 출근룩에 엄지인 경악 “업무 방해 돼”(당나귀 귀) ,http://v.daum.net/v/20241110175438302
26," 강지영 ‘청바지 위에 청치마, 유일무이한 청청패션으로 극장 나들이’ [틀린그림찾기] ",http://v.daum.net/v/20241115055701333
27, ‘청바지 입은 내가 주인공’···순천시 해룡면 청바지 축제 개최 ,http://v.daum.net/v/20241016164702070
28, 수영강습 갔던 화성 여대생 주검으로…'정액 묻은 청바지'가 사라졌다 ,http://v.daum.net/v/20241027053149482
29," 효민의 패션은 거꾸로 간다! 코트는 ‘이불’, 청바지는 ‘방석’… 빈티지의 반란 ",http://v.daum.net/v/20241031081804118
