지역명,규모구분,연도,월,분양가격(제곱미터)
서울,모든면적,2015,10,"5,841"
서울,전용면적 60제곱미터이하,2015,10,5652
서울,전용면적 60제곱미터초과 85제곱미터이하,2015,10,"5,882"
서울,전용면적 85제곱미터초과 102제곱미터이하,2015,10,5721
서울,전용면적 102제곱미터초과,2015,10,"5,879"
인천,모든면적,2015,10,3163
인천,전용면적 60제곱미터이하,2015,10,"3,488"
인천,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3119
인천,전용면적 85제곱미터초과 102제곱미터이하,2015,10,"3,545"
인천,전용면적 102제곱미터초과,2015,10,3408
경기,모든면적,2015,10,"3,138"
경기,전용면적 60제곱미터이하,2015,10,3126
경기,전용면적 60제곱미터초과 85제곱미터이하,2015,10,"3,239"
경기,전용면적 85제곱미터초과 102제곱미터이하,2015,10,3496
경기,전용면적 102제곱미터초과,2015,10,"3,680"
부산,모든면적,2015,10,3112
부산,전용면적 60제곱미터이하,2015,10,"2,950"
부산,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2999
부산,전용면적 85제곱미터초과 102제곱미터이하,2015,10,"2,957"
부산,전용면적 102제곱미터초과,2015,10,3500
대구,모든면적,2015,10,"2,682"
대구,전용면적 60제곱미터이하,2015,10,2614
대구,전용면적 60제곱미터초과 85제곱미터이하,2015,10,"2,696"
대구,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2557
대구,전용면적 102제곱미터초과,2015,10,"2,598"
광주,모든면적,2015,10,2420
광주,전용면적 60제곱미터이하,2015,10,"2,253"
광주,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2439
광주,전용면적 85제곱미터초과 102제곱미터이하,2015,10,  
광주,전용면적 102제곱미터초과,2015,10,  
대전,모든면적,2015,10,"2,454"
대전,전용면적 60제곱미터이하,2015,10,2585
대전,전용면적 60제곱미터초과 85제곱미터이하,2015,10,"2,428"
대전,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2461
대전,전용면적 102제곱미터초과,2015,10,  
울산,모든면적,2015,10,3053
울산,전용면적 60제곱미터이하,2015,10,"2,422"
울산,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3040
울산,전용면적 85제곱미터초과 102제곱미터이하,2015,10,"2,951"
울산,전용면적 102제곱미터초과,2015,10,2690
세종,모든면적,2015,10,"2,642"
세종,전용면적 60제곱미터이하,2015,10,2572
세종,전용면적 60제곱미터초과 85제곱미터이하,2015,10,"2,657"
세종,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2644
세종,전용면적 102제곱미터초과,2015,10,"2,692"
강원,모든면적,2015,10,2167
강원,전용면적 60제곱미터이하,2015,10,"2,286"
강원,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2212
강원,전용면적 85제곱미터초과 102제곱미터이하,2015,10,"2,061"
강원,전용면적 102제곱미터초과,2015,10,2171
충북,모든면적,2015,10,"2,032"
충북,전용면적 60제곱미터이하,2015,10,1919
충북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,"2,033"
충북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2102
충북,전용면적 102제곱미터초과,2015,10,"2,369"
충남,모든면적,2015,10,2099
충남,전용면적 60제곱미터이하,2015,10,"2,206"
충남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2101
충남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,"2,743"
충남,전용면적 102제곱미터초과,2015,10,2442
전북,모든면적,2015,10,"2,054"
전북,전용면적 60제곱미터이하,2015,10,2127
전북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,"2,056"
전북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2377
전북,전용면적 102제곱미터초과,2015,10,"2,250"
전남,모든면적,2015,10,1925
전남,전용면적 60제곱미터이하,2015,10,"1,999"
전남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,1922
전남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,"2,262"
전남,전용면적 102제곱미터초과,2015,10,2292
경북,모든면적,2015,10,"2,148"
경북,전용면적 60제곱미터이하,2015,10,2204
경북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,"2,145"
경북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2308
경북,전용면적 102제곱미터초과,2015,10,"2,222"
경남,모든면적,2015,10,2291
경남,전용면적 60제곱미터이하,2015,10,"2,239"
경남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2305
경남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,"2,890"
경남,전용면적 102제곱미터초과,2015,10,3014
제주,모든면적,2015,10,"2,232"
제주,전용면적 60제곱미터이하,2015,10,  
제주,전용면적 60제곱미터초과 85제곱미터이하,2015,10,"2,225"
제주,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2583
제주,전용면적 102제곱미터초과,2015,10,"2,574"
서울,모든면적,2015,11,6050
서울,전용면적 60제곱미터이하,2015,11,"6,320"
서울,전용면적 60제곱미터초과 85제곱미터이하,2015,11,5964
서울,전용면적 85제곱미터초과 102제곱미터이하,2015,11,"7,092"
서울,전용면적 102제곱미터초과,2015,11,6551
인천,모든면적,2015,11,"3,184"
인천,전용면적 60제곱미터이하,2015,11,3328
인천,전용면적 60제곱미터초과 85제곱미터이하,2015,11,"3,119"
인천,전용면적 85제곱미터초과 102제곱미터이하,2015,11,3545
인천,전용면적 102제곱미터초과,2015,11,"3,408"
경기,모든면적,2015,11,3098
경기,전용면적 60제곱미터이하,2015,11,"3,079"
경기,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3202
경기,전용면적 85제곱미터초과 102제곱미터이하,2015,11,"3,391"
경기,전용면적 102제곱미터초과,2015,11,3724
부산,모든면적,2015,11,"3,131"
부산,전용면적 60제곱미터이하,2015,11,2982
부산,전용면적 60제곱미터초과 85제곱미터이하,2015,11,"3,037"
부산,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2957
부산,전용면적 102제곱미터초과,2015,11,"3,739"
대구,모든면적,2015,11,2749
대구,전용면적 60제곱미터이하,2015,11,"2,503"
대구,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2806
대구,전용면적 85제곱미터초과 102제곱미터이하,2015,11,"2,557"
대구,전용면적 102제곱미터초과,2015,11,2743
광주,모든면적,2015,11,"2,424"
광주,전용면적 60제곱미터이하,2015,11,2251
광주,전용면적 60제곱미터초과 85제곱미터이하,2015,11,"2,444"
광주,전용면적 85제곱미터초과 102제곱미터이하,2015,11,  
