제목,링크,썸네일,높이,폭
남성 밴딩 블루 워싱데님팬츠 청바지 레귤러 (8010) : 원 무드,http://shop1.phinf.naver.net/20220516_44/1652689238513FOA0G_JPEG/53825073347106185_1473252156.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20220516_44/1652689238513FOA0G_JPEG/53825073347106185_1473252156.jpg,1000,1000
아저씨청바지 50대 중년 남성 청바지 얇은 일자 K16,http://shopping.phinf.naver.net/main_4973253/49732536818.20240811201427.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_4973253/49732536818.20240811201427.jpg,300,300
데님 청바지 딜링미 워싱 포인트 베이직,http://shopping.phinf.naver.net/main_4603799/46037993769.3.20240227074731.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_4603799/46037993769.3.20240227074731.jpg,1200,1200
남성기모청바지 남자세미와이드청바지 밴딩 데님청바지 : 우모르,http://shop1.phinf.naver.net/20241115_109/1731657494046x14g7_JPEG/135501570720706_511913790.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20241115_109/1731657494046x14g7_JPEG/135501570720706_511913790.jpg,1000,1000
예스라인 프런트 포켓 스판 청바지 남자청바지 일자청바지 작업복 바지 남자청바지,http://shopping.phinf.naver.net/main_5009862/50098626189.20240901193238.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5009862/50098626189.20240901193238.jpg,1000,1000
기부미 7부청바지 데님 PT3677K95,http://shopping.phinf.naver.net/main_5091901/50919016794.20241019004028.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5091901/50919016794.20241019004028.jpg,300,300
남자 와이드 청바지 워싱 연청 흑청 통청바지 데님 팬츠 : 핫코드,http://shop1.phinf.naver.net/20241107_256/1730962345257vYbP2_JPEG/3470572169143430_1035080565.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20241107_256/1730962345257vYbP2_JPEG/3470572169143430_1035080565.jpg,1000,1000
블루포스 블루포스 존카른 기모 청바지 테이퍼드핏 데님진 라이트인디고 Lightindigo,http://shopping.phinf.naver.net/main_4987883/49878834083.20240820233305.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_4987883/49878834083.20240820233305.jpg,1000,1000
올진 올진 두시밴딩 테이퍼드핏 남자청바지 BLDO8001,http://shopping.phinf.naver.net/main_4705608/47056083682.20240414153853.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_4705608/47056083682.20240414153853.jpg,600,600
AA-0209 / 여자여성 허리밴딩 고무줄 스키니청바지 : 토보shop,https://shop-phinf.pstatic.net/20240820_252/1724121880530X4La7_JPEG/6200073003624977_1598068814.jpeg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240820_252/1724121880530X4La7_JPEG/6200073003624977_1598068814.jpeg,601,601
흑청바지 남자와이드청바지 반밴딩청바지 : 현인몰,http://shop1.phinf.naver.net/20240818_235/1723981589003JEHpG_JPEG/57454457804643802_400614866.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240818_235/1723981589003JEHpG_JPEG/57454457804643802_400614866.jpg,1870,1870
남자 와이드 청바지 허리밴딩 세미 연청바지 데님 팬츠 스판 빅사이즈 (3color) : 아트샵7,http://shop1.phinf.naver.net/20240413_126/1712943057592H9Rud_JPEG/114078956293942555_1846385880.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240413_126/1712943057592H9Rud_JPEG/114078956293942555_1846385880.jpg,860,860
트렌드 스타일 남성 청바지 실용적인 인기 있는 남성 : 탄베시프,http://shop1.phinf.naver.net/20240619_217/17187905591601jgPX_JPEG/34382216990075676_1331893344.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240619_217/17187905591601jgPX_JPEG/34382216990075676_1331893344.jpg,1000,750
남성용 편안한 스트레이트 데님 바지 비즈니스 캐주얼 신축성 청바지 최고 : MIXX,http://shop1.phinf.naver.net/20240612_187/1718136232330Suxox_JPEG/8937204631898096_1048892999.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240612_187/1718136232330Suxox_JPEG/8937204631898096_1048892999.jpg,1000,1000
