token,경주빈도,전주빈도,빈도합,경주비율,전주비율
코스,484,489,973,49.74%,50.26%
추천,401,350,751,53.40%,46.60%
맛집,65,271,336,19.35%,80.65%
여수,0,319,319,0.00%,100.00%
주달,0,278,278,0.00%,100.00%
숙소,178,76,254,70.08%,29.92%
질문,133,95,228,58.33%,41.67%
한옥마을,0,195,195,0.00%,100.00%
부탁,115,79,194,59.28%,40.72%
답변,123,65,188,65.43%,34.57%
일정,99,80,179,55.31%,44.69%
계획,137,35,172,79.65%,20.35%
티비,0,162,162,0.00%,100.00%
국내,5,142,147,3.40%,96.60%
친구,50,95,145,34.48%,65.52%
제주,0,137,137,0.00%,100.00%
제주도,15,116,131,11.45%,88.55%
전문,5,116,121,4.13%,95.87%
언서,0,121,121,0.00%,100.00%
봉이,0,121,121,0.00%,100.00%
관련,86,35,121,71.07%,28.93%
가족,101,15,116,87.07%,12.93%
안녕,69,45,114,60.53%,39.47%
한옥,0,111,111,0.00%,100.00%
마을,0,91,91,0.00%,100.00%
참고,50,40,90,55.56%,44.44%
정도,51,37,88,57.95%,42.05%
택시,55,30,85,64.71%,35.29%
이번,30,55,85,35.29%,64.71%
공원,27,53,80,33.75%,66.25%
준비,39,40,79,49.37%,50.63%
시간,27,50,77,35.06%,64.94%
당일치기,25,50,75,33.33%,66.67%
황리,72,0,72,100.00%,0.00%
장소,46,25,71,64.79%,35.21%
이용,35,30,65,53.85%,46.15%
관광지,35,30,65,53.85%,46.15%
가능,20,40,60,33.33%,66.67%
예정,20,40,60,33.33%,66.67%
아이,35,25,60,58.33%,41.67%
호텔,15,42,57,26.32%,73.68%
숙박,35,20,55,63.64%,36.36%
펜션,35,20,55,63.64%,36.36%
여자,30,25,55,54.55%,45.45%
역사,44,10,54,81.48%,18.52%
불국사,53,0,53,100.00%,0.00%
거리,15,38,53,28.30%,71.70%
근처,20,33,53,37.74%,62.26%
사람,10,43,53,18.87%,81.13%
갈만,21,30,51,41.18%,58.82%
이동,20,30,50,40.00%,60.00%
엄마,50,0,50,100.00%,0.00%
남자,10,40,50,20.00%,80.00%
동선,45,5,50,90.00%,10.00%
아래,29,20,49,59.18%,40.82%
덕진,0,48,48,0.00%,100.00%
시장,20,28,48,41.67%,58.33%
추억,37,10,47,78.72%,21.28%
동궁,45,0,45,100.00%,0.00%
도착,30,15,45,66.67%,33.33%
가요,35,10,45,77.78%,22.22%
첨성대,43,0,43,100.00%,0.00%
감사,5,38,43,11.63%,88.37%
도움,20,23,43,46.51%,53.49%
처음,25,18,43,58.14%,41.86%
시작,10,31,41,24.39%,75.61%
혼자,10,30,40,25.00%,75.00%
비용,0,40,40,0.00%,100.00%
동물원,0,40,40,0.00%,100.00%
문화,20,20,40,50.00%,50.00%
아빠,35,5,40,87.50%,12.50%
투어,29,10,39,74.36%,25.64%
식당,35,4,39,89.74%,10.26%
버스,13,25,38,34.21%,65.79%
대중교통,20,17,37,54.05%,45.95%
얼마,4,32,36,11.11%,88.89%
관광,6,30,36,16.67%,83.33%
터미널,10,25,35,28.57%,71.43%
방문,25,10,35,71.43%,28.57%
월지,35,0,35,100.00%,0.00%
주말,15,20,35,42.86%,57.14%
체험,6,29,35,17.14%,82.86%
하루,30,5,35,85.71%,14.29%
빌라,35,0,35,100.00%,0.00%
날씨,35,0,35,100.00%,0.00%
도보,24,10,34,70.59%,29.41%
생각,19,15,34,55.88%,44.12%
부모,19,15,34,55.88%,44.12%
가격,5,27,32,15.62%,84.38%
카페,15,17,32,46.88%,53.12%
아들,32,0,32,100.00%,0.00%
렌트,10,20,30,33.33%,66.67%
시내,30,0,30,100.00%,0.00%
수목원,0,30,30,0.00%,100.00%
다음,15,15,30,50.00%,50.00%
전라도,0,30,30,0.00%,100.00%
당일,10,20,30,33.33%,66.67%
한복,10,19,29,34.48%,65.52%
위치,23,5,28,82.14%,17.86%
보문,28,0,28,100.00%,0.00%
석굴암,26,0,26,100.00%,0.00%
강아지,0,25,25,0.00%,100.00%
음식,0,25,25,0.00%,100.00%
루트,25,0,25,100.00%,0.00%
부산,20,5,25,80.00%,20.00%
소개,25,0,25,100.00%,0.00%
위주,15,10,25,60.00%,40.00%
정보,5,20,25,20.00%,80.00%
첨부,20,5,25,80.00%,20.00%
확인,20,5,25,80.00%,20.00%
제외,5,20,25,20.00%,80.00%
초등,10,15,25,40.00%,60.00%
포항,25,0,25,100.00%,0.00%
학년,15,10,25,60.00%,40.00%
지도,25,0,25,100.00%,0.00%
필요,10,15,25,40.00%,60.00%
추석,8,15,23,34.78%,65.22%
남부,0,23,23,0.00%,100.00%
사진,13,10,23,56.52%,43.48%
구경,5,18,23,21.74%,78.26%
경비,3,20,23,13.04%,86.96%
박물관,7,15,22,31.82%,68.18%
월드,22,0,22,100.00%,0.00%
고등학생,17,5,22,77.27%,22.73%
예약,10,10,20,50.00%,50.00%
말씀,10,10,20,50.00%,50.00%
대부분,5,15,20,25.00%,75.00%
경기전,0,20,20,0.00%,100.00%
숙박비,0,20,20,0.00%,100.00%
향교,0,20,20,0.00%,100.00%
포함,5,15,20,25.00%,75.00%
명소,5,15,20,25.00%,75.00%
야경,15,5,20,75.00%,25.00%
채택,15,5,20,75.00%,25.00%
중요,20,0,20,100.00%,0.00%
공항,20,0,20,100.00%,0.00%
평일,15,5,20,75.00%,25.00%
편안,15,5,20,75.00%,25.00%
실패,20,0,20,100.00%,0.00%
남산,15,5,20,75.00%,25.00%
주요,20,0,20,100.00%,0.00%
어머니,15,5,20,75.00%,25.00%
도시,9,10,19,47.37%,52.63%
서울,9,10,19,47.37%,52.63%
오전,9,10,19,47.37%,52.63%
선택,14,5,19,73.68%,26.32%
교통비,3,15,18,16.67%,83.33%
남친,10,8,18,55.56%,44.44%
커플,10,8,18,55.56%,44.44%
국립,7,10,17,41.18%,58.82%
내공,10,7,17,58.82%,41.18%
시절,12,5,17,70.59%,29.41%
지역,6,10,16,37.50%,62.50%
일차,11,5,16,68.75%,31.25%
렌트카,10,6,16,62.50%,37.50%
인근,10,5,15,66.67%,33.33%
천마총,15,0,15,100.00%,0.00%
전통,0,15,15,0.00%,100.00%
