query,no,token,pos
전주 여행,1,대중교통,NNG
전주 여행,1,이랑,JC
전주 여행,1,렌트카,NNG
전주 여행,1,어떤,MM
전주 여행,1,을까요,EC
전주 여행,1,움직이,VV
전주 여행,1,편할지,VA+EC
전주 여행,1,대중교통,NNG
전주 여행,1,편할지,VA+EC
전주 여행,1,알려,VV+EC
전주 여행,1,세요,EP+EF
전주 여행,1,교통,NNG
전주 여행,1,상황,NNG
전주 여행,1,어떤지,VA+EC
전주 여행,1,궁금,XR
전주 여행,1,합니다,XSA+EF
전주 여행,1,맛집,NNG
전주 여행,1,국내,NNG
전주 여행,1,주달,NNG
전주 여행,1,티비,NNG
전주 여행,1,코스,NNG
전주 여행,1,여수,NNG
전주 여행,1,여수,NNG
전주 여행,1,제주,NNP
전주 여행,2,갈려고,VV+EC
전주 여행,2,는데요,EC
전주 여행,2,갈려고,VV+EC
전주 여행,2,는데요,EC
전주 여행,2,사람,NNG
전주 여행,2,갈려고,VV+EC
전주 여행,2,는데,EC
전주 여행,2,호텔,NNG
전주 여행,2,가격,NNG
전주 여행,2,정했,VV+EP
전주 여행,2,인데,VCP+EC
전주 여행,2,얼마,NNG
전주 여행,2,정도,NNG
전주 여행,2,을까요,EF
전주 여행,2,그리고,MAJ
전주 여행,2,맛집,NNG
전주 여행,2,카페,NNG
전주 여행,2,추천,NNG
전주 여행,2,세요,EP+EF
전주 여행,2,갈려고,VV+EC
전주 여행,2,는데요,EC
전주 여행,2,사람,NNG
전주 여행,2,갈려고,VV+EC
전주 여행,2,는데,EC
전주 여행,3,커플,NNG
전주 여행,3,려고,EC
전주 여행,3,는데,EC
전주 여행,3,추천,NNG
전주 여행,3,세요,EP+EF
전주 여행,3,숙소,NNG
전주 여행,3,거리,NNG
전주 여행,3,맛집,NNG
전주 여행,3,등등,NNB
전주 여행,3,추천,NNG
전주 여행,3,감사,NNG
전주 여행,3,습니다,EF
전주 여행,3,한옥마을,NNP
전주 여행,3,겁니다,NNB+VCP+EF
전주 여행,3,답변,NNG
전주 여행,3,도움,NNG
전주 여행,3,으면,EC
전주 여행,3,습니다,EF
전주 여행,3,한옥마을,NNP
전주 여행,3,한옥마을,NNP
전주 여행,3,맛집,NNG
전주 여행,3,거리,EC
전주 여행,3,추천,NNG
전주 여행,4,뚜벅,MAG
전주 여행,4,코스,NNG
전주 여행,4,남친,NNG
전주 여행,4,이랑,JC
전주 여행,4,는데,EC
전주 여행,4,뚜벅,MAG
전주 여행,4,에요,EF
전주 여행,4,숙소,NNG
전주 여행,4,한옥마을,NNP
전주 여행,4,인데,VCP+EC
전주 여행,4,이틀,NNG
전주 여행,4,동안,NNG
전주 여행,4,코스,NNG
전주 여행,4,추천,NNG
전주 여행,4,이나,JC
전주 여행,4,맛집,NNG
전주 여행,4,추천,NNG
전주 여행,4,부탁,NNG
전주 여행,4,드려요,VV+EC
전주 여행,4,광고,NNG
전주 여행,4,어요,EF
전주 여행,4,남친,NNG
전주 여행,4,이랑,JC
전주 여행,4,는데,EC
전주 여행,4,뚜벅,MAG
전주 여행,4,에요,EF
전주 여행,4,숙소,NNG
전주 여행,4,한옥마을,NNP
전주 여행,5,펜션,NNG
전주 여행,5,한옥,NNG
전주 여행,5,으로,JKB
전주 여행,5,이번,NNG
전주 여행,5,남자,NNG
전주 여행,5,친구,NNG
전주 여행,5,같이,MAG
전주 여행,5,해서,VV+EC
전주 여행,5,얼른,MAG
전주 여행,5,펜션,NNG
전주 여행,5,봐야,VX+EC
전주 여행,5,는데,EC
전주 여행,5,한옥,NNG
전주 여행,5,마을,NNG
전주 여행,5,근처,NNG
전주 여행,5,한옥,NNG
전주 여행,5,느낌,MAG
전주 여행,5,펜션,NNG
전주 여행,5,으로,JKB
전주 여행,5,을까요,EC
전주 여행,5,내부,NNG
전주 여행,5,정감,NNG
전주 여행,5,분위기,NNG
전주 여행,5,아요,EF
전주 여행,5,빠른,VA+ETM
전주 여행,5,답변,NNG
전주 여행,5,부탁,NNG
전주 여행,6,커플,NNG
전주 여행,6,대해,VV+EC
전주 여행,6,도움,NNG
전주 여행,6,드릴게요,VV+EC
전주 여행,6,남자,NNG
전주 여행,6,친구,NNG
전주 여행,6,이용,NNG
전주 여행,6,할지,XSV+EC
전주 여행,6,이용,NNG
전주 여행,6,할지,XSV+EC
전주 여행,6,대해서,VV+EC
전주 여행,6,여러,MM
전주 여행,6,가지,NNBC
전주 여행,6,요소,NNG
전주 여행,6,고려,NNG
전주 여행,6,셔야,EP+EC
전주 여행,6,합니다,VX+EF
전주 여행,6,만약,MAG
전주 여행,6,교통,NNG
전주 여행,6,체증,NNG
전주 여행,6,예상,NNG
전주 여행,6,날짜,NNG
전주 여행,6,라면,NNG
전주 여행,6,이용,NNG
전주 여행,6,편할,VA+ETM
전주 여행,6,습니다,EF
전주 여행,6,또한,MAJ
전주 여행,6,남자,NNG
전주 여행,6,친구,NNG
전주 여행,7,고등학교,NNG
전주 여행,7,친구,NNG
전주 여행,7,당일치기,NNG
전주 여행,7,지금,MAG
전주 여행,7,고등학교,NNG
전주 여행,7,학년,NNG
전주 여행,7,친구,NNG
전주 여행,7,함께,MAG
전주 여행,7,당일,NNG
전주 여행,7,예정,NNG
전주 여행,7,인데,VCP+EC
전주 여행,7,부모,NNG
전주 여행,7,라고,VCP+EC
전주 여행,7,말씀,NNG
전주 여행,7,드리,VV
전주 여행,7,허락,NNG
전주 여행,7,을까요,EC
전주 여행,7,고등학교,NNG
전주 여행,7,시절,NNG
전주 여행,7,친구,NNG
전주 여행,7,소중,XR
전주 여행,7,추억,NNG
전주 여행,7,만들,VV
전주 여행,7,위해,VV+EC
전주 여행,7,다녀오,VV
전주 여행,7,습니다,EF
전주 여행,8,코스,NNG
전주 여행,8,추천,NNG
전주 여행,8,습니다,EF
전주 여행,8,뭔가,NP+VCP+EC
전주 여행,8,박물관,NNG
전주 여행,8,관람,NNG
전주 여행,8,이나,JC
전주 여행,8,자연,NNG
전주 여행,8,경치,NNG
전주 여행,8,구경,NNG
전주 여행,8,등등,NNB
전주 여행,8,별루,NNG
전주 여행,8,추천,NNG
전주 여행,8,부탁,NNG
전주 여행,8,드립니다,VV+EC
전주 여행,8,코스,NNG
전주 여행,8,추천,NNG
전주 여행,8,드릴게요,VX+EF
전주 여행,8,전통,NNG
전주 여행,8,음식,NNG
전주 여행,8,문화,NNG
전주 여행,8,풍부,XR
전주 여행,8,으로,JKB
전주 여행,8,유명,XR
전주 여행,8,한데,XSA+EC
전주 여행,8,여러,MAG
전주 여행,8,즐길,VV+ETM
전주 여행,8,거리,NNG
전주 여행,8,아서,EC
전주 여행,8,즐거운,VA+ETM
전주 여행,8,즐길,VV+ETM
전주 여행,8,예요,VCP+EF
전주 여행,9,숙소,NNG
전주 여행,9,갈만,NNG
전주 여행,9,알려,VV+EC
전주 여행,9,세요,EP+EF
전주 여행,9,남자,NNG
전주 여행,9,친구,NNG
전주 여행,9,오랜만,NNG
전주 여행,9,정말,MAG
전주 여행,9,괜찮,VA
전주 여행,9,숙소,NNG
전주 여행,9,예약,NNG
전주 여행,9,어서,EC
전주 여행,9,많이,MAG
전주 여행,9,많이,MAG
전주 여행,9,답변,NNG
전주 여행,9,주세,NNG
전주 여행,9,안녕,NNG
전주 여행,9,세요,EP+EF
전주 여행,9,여기,VV
전주 여행,9,입니다,VCP+EF
전주 여행,9,질문,NNG
전주 여행,9,숙소,NNG
전주 여행,9,관련,NNG
전주 여행,9,답변,NNG
전주 여행,9,드리,VV
전주 여행,9,도록,EC
전주 여행,9,습니다,EF
전주 여행,9,다음,NNG
전주 여행,10,경비,NNG
전주 여행,10,보통,NNG
전주 여행,10,경비,NNG
전주 여행,10,얼마,NNG
전주 여행,10,정도,NNG
전주 여행,10,드나,VV
전주 여행,10,숙소,NNG
전주 여행,10,인데,VCP+EC
전주 여행,10,려고,EC
전주 여행,10,비싼,VA+ETM
전주 여행,10,건가요,NNB+VCP+EC
전주 여행,10,보통,NNG
전주 여행,10,경비,NNG
전주 여행,10,얼마,NNG
전주 여행,10,정도,NNG
전주 여행,10,드나,VV
전주 여행,10,숙소,NNG
전주 여행,10,인데,VCP+EC
전주 여행,10,려고,EC
전주 여행,10,비싼,VA+ETM
전주 여행,10,건가요,NNB+VCP+EC
전주 여행,10,질문,NNG
전주 여행,10,도움,NNG
전주 여행,11,추석,NNG
전주 여행,11,려고,EC
전주 여행,11,는데,EC
전주 여행,11,그때,NNG
전주 여행,11,한옥마을,NNP
전주 여행,11,관광지,NNG
전주 여행,11,을까요,EC
전주 여행,11,려고,EC
전주 여행,11,는데,EC
전주 여행,11,그때,NNG
전주 여행,11,한옥마을,NNP
전주 여행,11,관광지,NNG
전주 여행,11,을까요,EC
전주 여행,11,추석,NNG
전주 여행,11,당일,NNG
전주 여행,11,습니다,EF
전주 여행,11,에도,NNP
전주 여행,11,이벤트,NNG
전주 여행,11,진행,NNG
전주 여행,11,입니다,VCP+EC
전주 여행,12,부모,NNG
전주 여행,12,려고,EC
전주 여행,12,는데,EC
전주 여행,12,정보,NNG
전주 여행,12,하나,NR
전주 여행,12,어서요,EC
전주 여행,12,숙소,NNG
전주 여행,12,어디,NP
전주 여행,12,은지,EC
전주 여행,12,관광지,NNG
전주 여행,12,어디,NP
전주 여행,12,는지,EC
전주 여행,12,추천,NNG
전주 여행,12,부탁,NNG
전주 여행,12,드려요,VV+EC
전주 여행,12,맛집,NNG
전주 여행,12,국내,NNG
전주 여행,12,주달,NNG
전주 여행,12,티비,NNG
전주 여행,12,코스,NNG
전주 여행,12,여수,NNG
전주 여행,13,코스,NNG
전주 여행,13,질문,NNG
전주 여행,13,코스,NNG
전주 여행,13,전라도,NNP
전주 여행,13,어서,EC
전주 여행,13,맛집,NNG
전주 여행,13,국내,NNG
전주 여행,13,주달,NNG
전주 여행,13,티비,NNG
전주 여행,13,코스,NNG
전주 여행,13,여수,NNG
전주 여행,13,여수,NNG
전주 여행,13,제주,NNP
전주 여행,13,제주도,NNP
전주 여행,13,전문,NNG
전주 여행,13,언서,NNG
전주 여행,14,려는데,EC
전주 여행,14,여행지,NNG
전주 여행,14,맛집,NNG
전주 여행,14,추천,NNG
전주 여행,14,세요,EP+EF
전주 여행,14,보리암,NNP
전주 여행,14,다랭이,NNG
전주 여행,14,독일,NNP
전주 여행,14,마을,NNG
전주 여행,14,한옥마을,NNP
전주 여행,14,두세,MM
전주 여행,14,맛집,NNG
전주 여행,14,빨리,MAG
전주 여행,14,추천,NNG
전주 여행,14,세요,EP+EF
전주 여행,14,라서,EC
전주 여행,14,추천,NNG
전주 여행,14,셔도,EP+EC
전주 여행,14,됩니다,VV+EF
전주 여행,14,맛집,NNG
전주 여행,15,간다면,VV+EC
전주 여행,15,비용,NNG
전주 여행,15,얼마,NNG
전주 여행,15,나올까요,VV+EF
전주 여행,15,비용,NNG
전주 여행,15,여러,MM
전주 여행,15,요소,NNG
전주 여행,15,따라,VV+EC
전주 여행,15,달라지,VV
전주 여행,15,지만,EC
전주 여행,15,일반,NNG
전주 여행,15,으로,JKB
전주 여행,15,다음,NNG
전주 여행,15,항목,NNG
전주 여행,15,포함,NNG
전주 여행,15,됩니다,XSV+EF
전주 여행,15,교통비,NNG
전주 여행,15,까지,JX
전주 여행,15,이동,NNG
전주 여행,15,위한,VV+ETM
전주 여행,15,교통,NNG
전주 여행,15,비용,NNG
전주 여행,15,입니다,VCP+EF
전주 여행,16,코스,NNG
전주 여행,16,세요,EP+EF
전주 여행,16,코스,NNG
전주 여행,16,드릴,VX+ETM
전주 여행,16,습니다,EF
전주 여행,16,역사,NNG
전주 여행,16,유적지,NNG
전주 여행,16,전통문화,NNG
전주 여행,16,빛나,VV
전주 여행,16,으로,JKB
전주 여행,16,유명,XR
전주 여행,16,한데요,XSA+EF
전주 여행,16,먼저,MAG
전주 여행,16,한옥마을,NNP
전주 여행,16,방문,NNG
전주 여행,16,아름다움,VA+ETN
전주 여행,16,느낄,VV+ETM
전주 여행,16,습니다,EF
전주 여행,16,시작,NNG
전주 여행,16,라고,EC
전주 여행,16,한옥,NNG
전주 여행,16,마을,NNG
전주 여행,16,에서,JKB
전주 여행,17,완주,NNG
전주 여행,17,맛집,NNG
전주 여행,17,국내,NNG
전주 여행,17,주달,NNG
전주 여행,17,티비,NNG
전주 여행,17,코스,NNG
전주 여행,17,여수,NNG
전주 여행,17,여수,NNG
전주 여행,17,제주,NNP
전주 여행,17,제주도,NNP
전주 여행,17,전문,NNG
전주 여행,17,언서,NNG
전주 여행,17,주달,NNG
전주 여행,17,봉이,NNG
전주 여행,17,입니다,VCP+EF
전주 여행,17,완주,NNP
전주 여행,17,어느,MM
전주 여행,17,느냐,EC
전주 여행,17,따라,VV+EC
전주 여행,18,부탁,NNG
전주 여행,18,드립니다,VV+EC
전주 여행,18,맛집,NNG
전주 여행,18,국내,NNG
전주 여행,18,주달,NNG
전주 여행,18,티비,NNG
전주 여행,18,코스,NNG
전주 여행,18,여수,NNG
전주 여행,18,여수,NNG
전주 여행,18,제주,NNP
전주 여행,18,제주도,NNP
전주 여행,18,전문,NNG
전주 여행,18,언서,NNG
전주 여행,18,주달,NNG
전주 여행,18,봉이,NNG
전주 여행,18,입니다,VCP+EF
전주 여행,18,코스,NNG
전주 여행,19,관련,NNG
전주 여행,19,맛집,NNG
전주 여행,19,국내,NNG
전주 여행,19,주달,NNG
전주 여행,19,티비,NNG
전주 여행,19,코스,NNG
전주 여행,19,여수,NNG
전주 여행,19,여수,NNG
전주 여행,19,제주,NNP
전주 여행,19,제주도,NNP
전주 여행,19,전문,NNG
전주 여행,19,언서,NNG
전주 여행,19,주달,NNG
전주 여행,19,봉이,NNG
전주 여행,19,입니다,VCP+EF
전주 여행,19,주말,NNG
전주 여행,19,인지,VCP+EC
전주 여행,19,평일,NNG
전주 여행,19,인지,VCP+EC
전주 여행,19,따라,VV+EC
전주 여행,19,다릅니다,VA+EC
전주 여행,20,려고,EC
전주 여행,20,어떤,MM
전주 여행,20,적당,XR
전주 여행,20,할지,XSA+EC
전주 여행,20,추천,NNG
전주 여행,20,세요,EP+EF
전주 여행,20,맛집,NNG
전주 여행,20,국내,NNG
전주 여행,20,주달,NNG
전주 여행,20,티비,NNG
전주 여행,20,코스,NNG
전주 여행,20,여수,NNG
전주 여행,20,여수,NNG
전주 여행,20,제주,NNP
전주 여행,20,제주도,NNP
전주 여행,20,전문,NNG
전주 여행,20,언서,NNG
전주 여행,20,주달,NNG
전주 여행,20,봉이,NNG
전주 여행,20,입니다,VCP+EC
전주 여행,21,가시,VV
전주 여행,21,는군요,EC
전주 여행,21,그렇,VA
전주 여행,21,다면,EC
전주 여행,21,에서,JKB
전주 여행,21,연인,NNG
전주 여행,21,제일,MAG
전주 여행,21,많이,MAG
전주 여행,21,추천,NNG
전주 여행,21,드리,VX
전주 여행,21,습니다,EF
전주 여행,21,한옥마을,NNP
전주 여행,21,동물원,NNP
전주 여행,21,한국도로공사,NNP
전주 여행,21,수목원,NNG
전주 여행,21,향교,NNP
전주 여행,21,덕진,NNP
전주 여행,21,공원,NNG
전주 여행,22,비용,NNG
전주 여행,22,맛집,NNG
전주 여행,22,국내,NNG
전주 여행,22,주달,NNG
전주 여행,22,티비,NNG
전주 여행,22,코스,NNG
전주 여행,22,여수,NNG
전주 여행,22,여수,NNG
전주 여행,22,제주,NNP
전주 여행,22,제주도,NNP
전주 여행,22,전문,NNG
전주 여행,22,언서,NNG
전주 여행,22,주달,NNG
전주 여행,22,봉이,NNG
전주 여행,22,입니다,VCP+EF
전주 여행,22,한옥마을,NNP
전주 여행,22,입장료,NNG
전주 여행,22,따로,MAG
전주 여행,22,습니다,EF
전주 여행,22,기본,NNG
전주 여행,23,초등,NNG
전주 여행,23,학년,NNG
전주 여행,23,수학,NNG
전주 여행,23,코스,NNG
전주 여행,23,관광,NNG
전주 여행,23,달인,NNG
전주 여행,23,주달,NNG
전주 여행,23,봉이,NNG
전주 여행,23,께서,JKS
전주 여행,23,코스,NNG
전주 여행,23,추천,NNG
전주 여행,23,대단히,MAG
전주 여행,23,감사,NNG
전주 여행,23,드리,VV
전주 여행,23,습니다,EF
전주 여행,23,맛집,NNG
전주 여행,23,국내,NNG
전주 여행,23,주달,NNG
전주 여행,23,티비,NNG
전주 여행,23,코스,NNG
전주 여행,23,여수,NNG
전주 여행,23,여수,NNG
전주 여행,23,제주,NNP
전주 여행,24,이번,NNG
전주 여행,24,처음,MAG
전주 여행,24,는데,EC
전주 여행,24,추천,NNG
전주 여행,24,세요,EP+EF
전주 여행,24,은데,EC
전주 여행,24,위주,NNG
전주 여행,24,해요,VX+EF
전주 여행,24,트레,NNP
전주 여행,24,해요,VX+EF
전주 여행,24,계획,NNG
전주 여행,24,군요,EF
전주 여행,24,다양,XR
전주 여행,24,볼거리,NNG
전주 여행,25,비용,NNG
전주 여행,25,숙박비,NNG
전주 여행,25,제외,NNG
전주 여행,25,일인,NNG
전주 여행,25,대략,MAG
전주 여행,25,얼마,NNG
전주 여행,25,필요,NNG
전주 여행,25,나요,EC
전주 여행,25,숙박비,NNG
전주 여행,25,교통비,NNG
전주 여행,25,제외,NNG
전주 여행,25,가능,NNG
전주 여행,25,할까요,XSA+EC
전주 여행,25,숙박비,NNG
전주 여행,25,제외,NNG
전주 여행,25,일인,NNG
전주 여행,25,대략,MAG
전주 여행,25,얼마,NNG
전주 여행,25,필요,NNG
전주 여행,25,나요,EC
전주 여행,25,숙박비,NNG
전주 여행,25,교통비,NNG
전주 여행,25,제외,NNG
전주 여행,26,크리스마스,NNG
전주 여행,26,맛집,NNG
전주 여행,26,국내,NNG
전주 여행,26,주달,NNG
전주 여행,26,티비,NNG
전주 여행,26,코스,NNG
전주 여행,26,여수,NNG
전주 여행,26,여수,NNG
전주 여행,26,제주,NNP
전주 여행,26,제주도,NNP
전주 여행,26,전문,NNG
전주 여행,26,언서,NNG
전주 여행,26,주달,NNG
전주 여행,26,봉이,NNG
전주 여행,26,입니다,VCP+EF
전주 여행,26,코스,NNG
전주 여행,26,한옥,NNG
전주 여행,26,마을,NNG
전주 여행,26,에서부터,JKB
전주 여행,26,시작,NNG
전주 여행,27,전시회,NNG
전주 여행,27,추천,NNG
전주 여행,27,이번,NNG
전주 여행,27,남자,NNG
전주 여행,27,친구,NNG
전주 여행,27,는데요,EC
전주 여행,27,한옥마을,NNP
전주 여행,27,그래서,MAJ
전주 여행,27,갈만,NNG
전주 여행,27,공방,NNG
전주 여행,27,전시회,NNG
전주 여행,27,추천,NNG
전주 여행,27,부탁,NNG
전주 여행,27,드려요,VV+EC
전주 여행,27,안녕,NNG
전주 여행,27,세요,EP+EF
전주 여행,27,질문,NNG
전주 여행,27,관련,NNG
전주 여행,27,답변,NNG
전주 여행,27,드리,VV
전주 여행,27,도록,EC
전주 여행,27,습니다,EF
전주 여행,27,주로,MAG
전주 여행,27,봅니다,VX+EC
전주 여행,28,친구,NNG
전주 여행,28,친구,NNG
전주 여행,28,려고,EC
전주 여행,28,합니다,VX+EC
전주 여행,28,호텔,NNG
전주 여행,28,맛집,NNG
전주 여행,28,추천,NNG
전주 여행,28,세요,EP+EF
전주 여행,28,호텔,NNG
전주 여행,28,시설,NNG
전주 여행,28,괜찮,VA
전주 여행,28,깨끗,XR
전주 여행,28,했으면,XSA+EP+EC
전주 여행,28,어요,EF
전주 여행,28,한옥,NNP
전주 여행,28,어도,EC
전주 여행,28,괜찮,VA
전주 여행,28,아요,EF
전주 여행,28,침대,NNG
전주 여행,28,어요,EF
전주 여행,28,맛집,NNG
전주 여행,28,양식,NNG
전주 여행,28,중식,NNG
전주 여행,28,일식,NNG
전주 여행,28,상관없,VA
전주 여행,28,습니다,EF
전주 여행,28,비용,NNG
전주 여행,28,인당,NNG
전주 여행,29,연령,NNG
전주 여행,29,렌트카,NNG
전주 여행,29,추천,NNG
전주 여행,29,이번,NNG
